time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-01-20,43513.14,32990.72,41674.8,433998.6,16003223010.96,36829.37,direct,
2022-01-27,39281.06,35543.94,36829.37,222677.33,8348994698.23,36918.19,direct,
2022-02-03,45483.65,36270.47,36918.19,229471.26,9532067071.48,44422.91,direct,
2022-02-10,45837.02,41581.41,44422.91,191058.79,8294413967.19,43896.34,direct,
2022-02-17,44187.88,36371.68,43896.34,229150.04,8980038471.61,37270.85,direct,
2022-02-24,45069.78,34349.58,37270.85,323462.11,12827483375.62,43935.37,direct,
2022-03-03,44079.17,37191.99,43935.37,246820.68,9933188696.52,41962.85,direct,
2022-03-10,42043.56,37566.52,41962.85,229062.89,9023531309.13,41133.64,direct,
2022-03-17,43287.39,40230.1,41133.64,166599.59,6945865085.82,42904.1,direct,
2022-03-24,48208.48,42653.71,42904.1,191748.45,8772321583.19,47056.41,direct,
2022-03-31,47599.87,43129.76,47056.41,189624.26,8667334164.24,43177.78,direct,
2022-04-07,43982.39,39229.4,43177.78,156640.95,6523202426.24,41150.33,direct,
2022-04-14,42208.1,38569.14,41150.33,125091.17,5078196658.24,41375.35,direct,
2022-04-21,42996.5,37726.59,41375.35,196141.07,7783746872.03,39252.04,direct,
2022-04-28,40386.5,37461.76,39252.04,180782.25,7011951232.01,39680.21,direct,
2022-05-05,39831.19,28087.41,39680.21,502917.21,16415125123.41,29017.21,direct,
2022-05-12,31406.35,25835.61,29017.21,400371.27,11663965853.59,28667.29,direct,
2022-05-19,30725.44,28629.55,28667.29,236669.02,7021187852.81,29508.27,direct,
2022-05-26,32367.02,28060.72,29508.27,229662.53,6907702568.39,29789.58,direct,
2022-06-02,31740.27,29210.15,29789.58,183061.98,5549519549.64,30189.27,direct,
2022-06-09,30677.87,20083.9,30189.27,503733.42,12180693311.06,22566.73,direct,
2022-06-16,22961.17,17600.75,22566.73,432252.75,8706793456.32,19956.16,direct,
2022-06-23,21855.84,19844.86,19956.16,224354.34,4666954550.94,20094.16,direct,
2022-06-30,20817.65,18622.86,20094.16,279189.32,5477794712.18,20545.04,direct,
2022-07-07,22377.17,18919.1,20545.04,292771.48,6040414477.38,20230.81,direct,
2022-07-14,24276.14,19620.06,20230.81,360203.3,7915102151.79,23222.77,direct,
2022-07-21,23749.68,20733.24,23222.77,277231.17,6180488511.05,22960.19,direct,
