time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-03-18,1868.98,1546.93,1823.03,3010697.55,5241585728.4,1583.24,direct,
2021-03-25,1947.27,1549.08,1583.24,2756395.62,4773618585.71,1919.08,direct,
2021-04-01,2150.74,1888.82,1919.08,3207254.38,6538872189.08,1964.18,direct,
2021-04-08,2446.07,1950.13,1964.18,2784993.24,6115391177.91,2431.86,direct,
2021-04-15,2547.4,1976.71,2431.86,5308015.9,12146265678.94,2357.59,direct,
2021-04-22,2761.78,2096.0,2357.59,6282969.02,15196168225.09,2750.91,direct,
2021-04-29,3549.08,2672.02,2750.91,5318596.36,16680561742.55,3528.86,direct,
2021-05-06,4379.79,3360.6,3528.86,5952223.38,23094114957.45,3811.29,direct,
2021-05-13,4176.42,1947.97,3811.29,10044530.24,33177374830.59,2442.89,direct,
2021-05-20,2996.39,1736.21,2442.89,12387581.18,30064772495.63,2888.94,direct,
2021-05-27,2891.49,2182.6,2888.94,6413229.58,16228550630.32,2706.52,direct,
2021-06-03,2889.66,2310.58,2706.52,4649464.22,12238541004.17,2610.64,direct,
2021-06-10,2639.89,2259.36,2610.64,2690928.62,6636961929.54,2367.7,direct,
2021-06-17,2458.97,1705.78,2367.7,5524428.76,11169832082.49,1968.56,direct,
2021-06-24,2287.05,1717.91,1968.56,4101488.82,8076847897.07,2276.14,direct,
2021-07-01,2408.53,2018.32,2276.14,2505084.18,5567571329.73,2317.12,direct,
2021-07-08,2324.72,1866.25,2317.12,2915896.49,6087498551.46,1994.22,direct,
2021-07-15,2039.24,1720.11,1994.22,3004178.6,5630047921.25,1994.98,direct,
2021-07-22,2430.27,1949.15,1994.98,2976046.74,6536154441.87,2301.12,direct,
2021-07-29,2770.24,2268.67,2301.12,2924060.26,7365953004.69,2725.72,direct,
2021-08-05,3274.22,2536.51,2725.72,3810096.06,11428559848.96,3163.42,direct,
2021-08-12,3337.45,2952.86,3163.42,2775583.75,8776409747.3,3013.52,direct,
2021-08-19,3378.69,2963.91,3013.52,2135721.06,6873055272.63,3228.86,direct,
2021-08-26,3841.79,3057.59,3228.86,2532460.18,8440313363.3,3829.18,direct,
2021-09-02,4026.86,3170.57,3829.18,3284568.57,12090238640.75,3499.69,direct,
2021-09-09,3617.68,3121.17,3499.69,2706630.62,9092248618.63,3615.22,direct,
2021-09-16,3673.8,2677.64,3615.22,3653088.64,11543769083.63,3078.88,direct,
2021-09-23,3177.43,2742.73,3078.88,2925804.89,8620555686.97,2850.87,direct,
2021-09-30,3626.63,2838.28,2850.87,2352076.05,7805881147.89,3576.08,direct,
2021-10-07,3669.37,3374.5,3576.19,1747909.54,6191535159.78,3607.55,direct,
2021-10-14,4168.74,3589.52,3607.55,2388725.07,9169034046.13,4162.49,direct,
2021-10-21,4373.21,3892.38,4162.49,2541401.8,10461978187.15,3924.31,direct,
2021-10-28,4669.63,3897.1,3924.31,2605011.54,11339035196.23,4604.4,direct,
